Latitude (decimal degrees): 9.948
Longitude (decimal degrees): 76.569
Elevation (m): 50.0
Irradiance Time Offset (h): 0.0
month,year
1,2018
2,2022
3,2017
4,2009
5,2016
6,2006
7,2012
8,2021
9,2021
10,2020
11,2020
12,2007
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20201022:1700,23.6,90.1,0.0,-0.0,0.0,413.95,0.76,18.0,99410.0
20201022:1800,23.36,90.05,0.0,-0.0,0.0,401.55,1.03,43.0,99390.0
20201022:1900,22.91,93.05,0.0,-0.0,0.0,402.35,0.76,59.0,99290.0
20201022:2000,22.63,93.05,0.0,-0.0,0.0,400.0,0.76,56.0,99240.0
20201022:2100,22.41,96.15,0.0,-0.0,0.0,400.8,0.76,67.0,99190.0
20201022:2200,22.3,96.15,0.0,-0.0,0.0,405.65,0.62,64.0,99180.0
20201022:2300,22.21,96.15,0.0,-0.0,0.0,405.25,0.55,69.0,99170.0
20201023:0000,22.0,96.15,0.0,-0.0,0.0,397.7,0.55,79.0,99190.0
20201023:0100,21.96,96.15,46.05,0.0,46.05,397.4,0.41,80.0,99240.0
20201023:0200,23.33,93.05,294.4,661.8,92.75,393.45,0.0,23.0,99340.0
20201023:0300,25.28,81.75,407.2,514.35,136.25,395.95,0.14,220.0,99430.0
20201023:0400,26.17,76.65,586.65,541.33,202.0,410.1,0.62,260.0,99470.0
20201023:0500,27.17,74.3,768.1,741.15,142.9,415.1,0.97,268.0,99460.0
20201023:0600,27.74,74.4,743.0,539.83,248.15,409.7,1.17,283.0,99400.0
20201023:0700,27.96,76.85,716.7,562.8,196.15,417.25,1.1,293.0,99330.0
20201023:0800,28.32,74.5,659.3,554.93,177.75,426.35,1.31,294.0,99230.0
20201023:0900,28.29,72.1,497.0,476.11,140.35,416.65,1.59,297.0,99190.0
20201023:1000,27.8,72.0,259.9,247.93,116.85,414.15,1.45,300.0,99130.0
20201023:1100,26.86,76.7,115.9,162.74,56.8,416.85,1.17,302.0,99130.0
20201023:1200,26.23,81.85,11.35,29.46,7.75,413.95,0.69,314.0,99160.0
20201023:1300,25.74,84.5,0.0,-0.0,0.0,404.3,0.83,359.0,99240.0
20201023:1400,25.18,87.3,0.0,-0.0,0.0,396.75,1.03,22.0,99310.0
20201023:1500,24.55,90.1,0.0,-0.0,0.0,388.2,1.1,42.0,99400.0
20201023:1600,23.8,93.1,0.0,-0.0,0.0,382.4,1.17,55.0,99430.0
20201023:1700,22.96,96.15,0.0,-0.0,0.0,380.3,1.17,57.0,99440.0
20201023:1800,22.35,96.15,0.0,-0.0,0.0,380.45,1.1,59.0,99410.0
20201023:1900,22.56,87.1,0.0,-0.0,0.0,386.3,1.24,57.0,99380.0
20201023:2000,22.29,90.0,0.0,-0.0,0.0,390.15,1.17,47.0,99340.0
20201023:2100,21.92,89.95,0.0,-0.0,0.0,381.85,1.1,33.0,99290.0
20201023:2200,21.65,89.95,0.0,-0.0,0.0,383.55,1.1,35.0,99310.0
20201023:2300,21.44,93.0,0.0,-0.0,0.0,383.95,1.1,57.0,99320.0
20201024:0000,21.19,89.95,0.0,-0.0,0.0,381.85,1.03,76.0,99340.0
20201024:0100,20.96,92.95,47.76,0.0,47.76,381.95,1.03,85.0,99380.0
20201024:0200,22.73,87.1,332.8,814.39,85.55,375.25,0.55,79.0,99450.0
20201024:0300,25.22,79.1,580.6,896.93,109.4,379.9,0.28,94.0,99480.0
20201024:0400,27.39,65.1,753.9,897.59,117.65,386.45,0.21,43.0,99510.0
20201024:0500,28.2,61.1,817.8,791.02,152.1,390.95,0.69,285.0,99500.0
20201024:0600,28.89,59.2,684.45,517.17,211.5,403.5,1.24,278.0,99430.0
20201024:0700,29.0,59.2,796.4,577.25,263.8,421.1,1.1,288.0,99370.0
20201024:0800,29.59,59.2,758.95,654.16,192.8,420.75,1.24,294.0,99260.0
20201024:0900,29.9,57.4,595.3,603.6,144.5,418.2,1.31,294.0,99210.0
20201024:1000,29.49,59.2,394.3,508.28,102.1,406.6,1.17,291.0,99130.0
20201024:1100,28.69,63.3,175.15,318.86,59.95,405.05,1.1,273.0,99180.0
20201024:1200,27.45,76.8,14.15,47.26,8.45,406.6,1.24,254.0,99230.0
20201024:1300,26.22,79.2,0.0,-0.0,0.0,396.35,1.24,250.0,99340.0
20201024:1400,25.3,87.3,0.0,-0.0,0.0,392.45,0.83,263.0,99430.0
20201024:1500,24.85,87.25,0.0,-0.0,0.0,389.95,0.55,292.0,99550.0
20201024:1600,25.09,84.45,0.0,-0.0,0.0,387.05,0.28,360.0,99600.0
20201024:1700,23.94,93.1,0.0,-0.0,0.0,384.95,0.76,50.0,99580.0
20201024:1800,23.27,93.05,0.0,-0.0,0.0,382.6,1.24,54.0,99550.0
20201024:1900,22.48,96.15,0.0,-0.0,0.0,374.3,0.9,40.0,99480.0
20201024:2000,21.94,96.15,0.0,-0.0,0.0,372.75,1.03,41.0,99400.0
20201024:2100,21.55,96.15,0.0,-0.0,0.0,371.55,1.1,47.0,99360.0
20201024:2200,21.32,96.15,0.0,-0.0,0.0,369.65,1.17,50.0,99340.0
20201024:2300,21.02,99.4,0.0,-0.0,0.0,371.4,1.17,59.0,99360.0
20201025:0000,20.77,96.15,0.0,-0.0,0.0,369.45,1.24,67.0,99400.0
20201025:0100,20.57,92.95,55.55,0.0,55.55,364.5,1.31,75.0,99490.0
20201025:0200,22.47,90.0,353.25,862.77,92.3,370.4,0.76,77.0,99570.0
20201025:0300,25.16,74.0,577.65,844.28,135.35,370.0,0.76,72.0,99610.0
20201025:0400,26.91,65.0,737.95,769.94,193.55,375.45,0.41,49.0,99600.0
20201025:0500,28.16,59.1,881.4,866.47,153.95,381.85,0.34,292.0,99640.0
20201025:0600,29.14,57.3,888.2,709.96,240.5,391.3,1.03,272.0,99570.0
20201025:0700,29.6,55.4,812.3,652.09,212.15,395.75,1.03,274.0,99490.0
20201025:0800,29.79,53.7,701.5,599.54,184.0,400.0,1.24,266.0,99380.0
20201025:0900,29.67,53.7,561.15,543.9,156.15,402.9,1.31,264.0,99290.0
20201025:1000,29.22,55.4,364.15,394.89,137.95,401.55,1.17,261.0,99230.0
20201025:1100,28.31,63.2,153.8,217.27,75.7,400.0,0.9,257.0,99220.0
20201025:1200,27.17,71.9,13.1,30.65,9.45,396.55,0.97,254.0,99250.0
20201025:1300,26.07,79.15,0.0,-0.0,0.0,390.15,0.97,259.0,99340.0
20201025:1400,24.93,87.25,0.0,-0.0,0.0,383.55,0.69,284.0,99370.0
20201025:1500,24.41,87.2,0.0,-0.0,0.0,380.85,0.9,305.0,99470.0
20201025:1600,23.85,87.15,0.0,-0.0,0.0,378.95,1.1,322.0,99520.0
20201025:1700,23.33,90.05,0.0,-0.0,0.0,378.95,1.1,343.0,99540.0
20201025:1800,23.01,93.05,0.0,-0.0,0.0,383.2,1.03,21.0,99530.0
20201025:1900,22.86,90.05,0.0,-0.0,0.0,387.05,1.24,54.0,99570.0
20201025:2000,22.59,90.05,0.0,-0.0,0.0,389.55,1.24,59.0,99490.0
20201025:2100,22.32,93.05,0.0,-0.0,0.0,386.45,1.31,60.0,99430.0
20201025:2200,21.93,93.0,0.0,-0.0,0.0,384.35,1.31,59.0,99410.0
20201025:2300,21.6,93.0,0.0,-0.0,0.0,382.2,1.31,59.0,99400.0
20201026:0000,21.35,93.0,0.0,-0.0,0.0,382.0,1.24,55.0,99430.0
20201026:0100,21.19,93.0,58.55,0.0,58.55,379.4,1.24,53.0,99490.0
20201026:0200,23.13,87.1,319.4,680.31,114.45,382.4,0.55,53.0,99570.0
20201026:0300,25.61,74.1,554.85,795.44,139.35,386.3,0.48,24.0,99620.0
20201026:0400,27.25,63.0,765.1,913.0,121.2,391.9,0.55,337.0,99630.0
20201026:0500,28.71,59.2,863.1,877.91,127.85,394.0,0.76,297.0,99600.0
20201026:0600,29.71,57.4,875.1,755.09,187.9,399.85,1.03,277.0,99490.0
20201026:0700,30.2,57.5,728.7,618.81,160.6,408.75,1.31,274.0,99420.0
20201026:0800,29.99,59.35,678.35,561.87,194.65,411.05,1.66,271.0,99320.0
20201026:0900,29.81,61.35,492.85,433.91,170.7,419.0,1.79,272.0,99220.0
20201026:1000,29.16,65.4,316.9,322.97,132.55,415.9,1.45,275.0,99160.0
20201026:1100,28.24,72.1,137.0,206.19,63.25,419.55,1.45,265.0,99170.0
20201026:1200,27.18,79.35,11.5,27.21,8.3,410.45,1.24,263.0,99220.0
20201026:1300,26.19,84.55,0.0,-0.0,0.0,406.2,1.24,265.0,99320.0
20201026:1400,25.58,87.3,0.0,-0.0,0.0,405.25,1.1,298.0,99400.0
20201026:1500,25.28,90.2,0.0,-0.0,0.0,407.75,0.9,328.0,99480.0
20201026:1600,24.95,93.15,0.0,-0.0,0.0,405.85,0.97,357.0,99540.0
20201026:1700,24.64,93.15,0.0,-0.0,0.0,410.45,0.69,356.0,99510.0
20201026:1800,24.47,93.1,0.0,-0.0,0.0,410.1,0.69,5.0,99470.0
20201026:1900,24.21,93.1,0.0,-0.0,0.0,409.5,0.83,29.0,99460.0
20201026:2000,23.89,96.2,0.0,-0.0,0.0,407.0,0.9,36.0,99360.0
20201026:2100,23.89,96.2,0.0,-0.0,0.0,417.45,0.9,46.0,99290.0
20201026:2200,23.74,93.1,0.0,-0.0,0.0,408.9,0.97,50.0,99240.0
20201026:2300,23.55,96.2,0.0,-0.0,0.0,411.45,0.9,61.0,99250.0
20201027:0000,23.28,96.2,0.0,-0.0,0.0,402.75,0.97,73.0,99270.0
20201027:0100,23.14,93.05,46.2,0.0,46.2,399.35,1.03,80.0,99340.0
20201027:0200,24.67,90.15,285.7,633.8,95.55,401.2,0.28,84.0,99420.0
20201027:0300,26.3,81.85,516.65,733.61,134.6,405.45,0.21,307.0,99490.0
20201027:0400,27.65,74.4,692.6,764.64,154.75,410.65,0.62,285.0,99520.0
20201027:0500,28.88,69.85,674.1,553.97,211.3,415.9,1.03,266.0,99510.0
20201027:0600,28.57,74.5,543.35,272.35,296.1,430.0,1.1,279.0,99420.0
20201027:0700,28.17,72.1,605.1,386.18,251.45,425.55,1.52,261.0,99360.0
20201027:0800,28.28,74.5,512.65,357.62,205.6,418.4,1.17,278.0,99240.0
20201027:0900,27.76,76.85,388.75,264.3,193.1,429.45,0.83,309.0,99180.0
20201027:1000,27.23,81.95,161.65,95.2,107.5,422.65,0.34,335.0,99190.0
20201027:1100,25.7,93.2,74.3,49.02,56.85,427.9,0.0,218.0,99240.0
20201027:1200,25.37,93.15,7.65,9.9,6.5,419.95,0.48,115.0,99290.0
20201027:1300,25.03,96.2,0.0,-0.0,0.0,407.4,0.34,59.0,99360.0
20201027:1400,24.65,93.15,0.0,-0.0,0.0,405.45,0.9,83.0,99450.0
20201027:1500,24.33,96.2,0.0,-0.0,0.0,406.2,0.97,70.0,99510.0
20201027:1600,23.97,96.2,0.0,-0.0,0.0,399.65,1.1,68.0,99540.0
20201027:1700,23.6,96.2,0.0,-0.0,0.0,402.15,1.03,62.0,99500.0
20201027:1800,23.14,96.2,0.0,-0.0,0.0,397.5,0.97,59.0,99460.0
20201027:1900,23.82,96.2,0.0,-0.0,0.0,405.65,0.97,72.0,99490.0
20201027:2000,23.66,96.2,0.0,-0.0,0.0,415.1,0.83,68.0,99380.0
20201027:2100,24.12,90.1,0.0,-0.0,0.0,409.1,0.34,132.0,99340.0
20201027:2200,24.07,90.1,0.0,-0.0,0.0,409.1,0.34,144.0,99320.0
20201027:2300,23.83,93.1,0.0,-0.0,0.0,397.5,0.41,114.0,99320.0
20201028:0000,23.0,96.15,0.0,-0.0,0.0,401.2,0.97,61.0,99370.0
20201028:0100,22.16,96.15,41.75,0.0,41.75,400.5,1.24,63.0,99410.0
20201028:0200,24.16,93.1,302.15,709.52,90.2,405.25,0.41,55.0,99520.0
20201028:0300,26.13,84.55,515.55,761.99,119.95,403.1,0.34,12.0,99560.0
20201028:0400,27.29,81.95,713.05,806.77,147.1,406.2,0.48,324.0,99610.0
20201028:0500,28.64,74.55,780.05,703.76,193.6,412.8,0.76,286.0,99570.0
20201028:0600,29.67,72.25,847.85,765.46,154.65,418.2,1.1,272.0,99490.0
20201028:0700,29.98,69.95,763.85,653.9,166.55,417.65,1.45,284.0,99350.0
20201028:0800,29.28,72.15,556.75,436.99,182.55,423.85,1.38,285.0,99250.0
20201028:0900,29.15,72.15,252.0,105.0,174.5,431.75,1.24,289.0,99140.0
20201028:1000,27.83,79.4,175.7,48.34,148.3,429.25,0.34,255.0,99200.0
20201028:1100,26.55,93.2,73.65,20.61,66.35,425.95,0.28,261.0,99230.0
20201028:1200,24.7,96.2,6.75,8.71,5.75,420.9,0.14,41.0,99330.0
20201028:1300,24.39,96.2,0.0,-0.0,0.0,410.65,1.17,113.0,99430.0
20201028:1400,23.7,96.2,0.0,-0.0,0.0,419.2,1.03,92.0,99510.0
20201028:1500,23.22,96.2,0.0,-0.0,0.0,414.15,0.9,51.0,99620.0
20201028:1600,22.82,99.4,0.0,-0.0,0.0,402.35,1.17,57.0,99620.0
20201028:1700,22.74,96.15,0.0,-0.0,0.0,401.0,1.1,58.0,99570.0
20201028:1800,22.44,96.15,0.0,-0.0,0.0,390.75,1.17,66.0,99550.0
20201028:1900,23.05,96.15,0.0,-0.0,0.0,407.0,0.97,85.0,99540.0
20201028:2000,22.39,99.4,0.0,-0.0,0.0,404.1,0.83,75.0,99490.0
20201028:2100,22.1,99.4,0.0,-0.0,0.0,412.6,1.1,93.0,99410.0
20201028:2200,22.15,96.15,0.0,-0.0,0.0,410.1,1.17,94.0,99390.0
20201028:2300,22.23,93.05,0.0,-0.0,0.0,407.75,1.03,86.0,99380.0
20201029:0000,22.18,93.05,0.0,-0.0,0.0,398.3,0.97,66.0,99410.0
20201029:0100,22.1,93.05,41.5,0.0,41.5,401.7,0.9,65.0,99490.0
20201029:0200,23.05,96.15,284.7,603.77,105.15,397.7,0.41,61.0,99560.0
20201029:0300,24.79,90.15,404.45,485.4,153.25,398.65,0.21,36.0,99630.0
20201029:0400,25.97,84.5,577.15,525.82,209.3,403.9,0.21,299.0,99640.0
20201029:0500,27.53,76.8,763.45,694.32,186.35,411.25,0.48,280.0,99620.0
20201029:0600,28.89,69.85,807.85,690.39,184.2,410.45,1.03,281.0,99510.0
20201029:0700,29.69,67.7,687.35,563.3,174.1,413.2,1.24,297.0,99360.0
20201029:0800,29.68,65.5,540.25,451.19,154.9,417.85,1.17,288.0,99260.0
20201029:0900,28.95,69.85,337.9,280.44,131.5,429.05,1.1,278.0,99200.0
20201029:1000,28.35,72.1,244.15,275.41,88.55,423.65,0.97,288.0,99160.0
20201029:1100,26.92,81.9,130.8,193.81,62.45,417.65,0.83,278.0,99240.0
20201029:1200,26.12,84.55,8.65,15.42,6.9,414.55,0.41,265.0,99280.0
20201029:1300,25.61,87.3,0.0,-0.0,0.0,413.55,0.62,173.0,99380.0
20201029:1400,24.88,93.15,0.0,-0.0,0.0,409.1,0.97,132.0,99450.0
20201029:1500,24.47,93.1,0.0,-0.0,0.0,413.4,0.83,132.0,99560.0
20201029:1600,24.18,93.1,0.0,-0.0,0.0,408.55,0.83,151.0,99580.0
20201029:1700,23.95,96.2,0.0,-0.0,0.0,411.25,0.69,150.0,99560.0
20201029:1800,23.79,96.2,0.0,-0.0,0.0,412.0,0.76,118.0,99520.0
20201029:1900,23.61,93.1,0.0,-0.0,0.0,409.9,1.1,120.0,99510.0
20201029:2000,23.08,93.05,0.0,-0.0,0.0,411.65,0.83,97.0,99460.0
20201029:2100,22.33,96.15,0.0,-0.0,0.0,401.0,0.76,106.0,99430.0
20201029:2200,21.98,99.4,0.0,-0.0,0.0,410.3,0.62,107.0,99420.0
20201029:2300,21.67,99.4,0.0,-0.0,0.0,399.25,0.48,85.0,99400.0
20201030:0000,22.12,93.05,0.0,-0.0,0.0,401.75,0.83,53.0,99430.0
20201030:0100,22.14,93.05,46.9,0.0,46.9,399.15,0.9,42.0,99480.0
20201030:0200,22.9,96.15,303.65,693.93,98.25,391.7,0.41,45.0,99530.0
20201030:0300,24.34,90.1,535.7,807.67,119.1,396.95,0.21,71.0,99580.0
20201030:0400,26.0,84.5,660.55,724.41,155.2,395.75,0.14,187.0,99590.0
20201030:0500,27.66,72.0,839.2,841.13,141.9,405.85,0.41,246.0,99570.0
20201030:0600,28.84,69.85,793.45,693.47,168.6,407.55,0.97,247.0,99440.0
20201030:0700,29.05,69.85,717.35,611.55,161.55,411.85,1.24,261.0,99320.0
20201030:0800,29.26,69.85,642.25,573.77,153.5,417.45,1.24,260.0,99220.0
20201030:0900,29.07,69.85,481.85,500.06,114.85,419.95,0.97,275.0,99150.0
20201030:1000,28.51,72.1,316.8,393.79,95.05,421.7,0.97,308.0,99080.0
20201030:1100,28.04,74.4,126.05,211.19,51.9,417.25,0.9,323.0,99140.0
20201030:1200,26.78,84.6,10.0,28.5,6.8,409.9,0.41,274.0,99200.0
20201030:1300,26.12,87.35,0.0,-0.0,0.0,405.85,0.9,258.0,99330.0
20201030:1400,25.46,93.15,0.0,-0.0,0.0,407.55,0.69,247.0,99420.0
20201030:1500,24.88,90.15,0.0,-0.0,0.0,405.85,0.34,70.0,99500.0
20201030:1600,23.92,93.1,0.0,-0.0,0.0,406.6,1.03,77.0,99550.0
20201030:1700,23.43,93.05,0.0,-0.0,0.0,410.45,0.83,84.0,99550.0
20201030:1800,23.33,93.05,0.0,-0.0,0.0,410.85,0.83,102.0,99520.0
20201030:1900,23.35,93.05,0.0,-0.0,0.0,409.7,1.17,120.0,99510.0
20201030:2000,23.31,93.05,0.0,-0.0,0.0,407.4,1.1,120.0,99470.0
20201030:2100,23.01,93.05,0.0,-0.0,0.0,404.45,1.1,112.0,99400.0
20201030:2200,22.78,93.05,0.0,-0.0,0.0,408.35,1.31,125.0,99400.0
20201030:2300,22.41,93.05,0.0,-0.0,0.0,392.3,0.9,114.0,99380.0
20201031:0000,21.93,96.15,0.0,-0.0,0.0,391.7,0.62,84.0,99390.0
20201031:0100,21.56,96.15,50.55,0.0,50.55,398.4,0.62,85.0,99450.0
20201031:0200,22.97,96.15,319.15,756.88,96.2,385.1,0.41,104.0,99500.0
20201031:0300,24.66,90.15,562.1,886.67,106.3,388.2,0.41,156.0,99570.0
20201031:0400,26.33,79.2,638.05,708.6,145.15,391.1,0.69,179.0,99580.0
20201031:0500,27.69,72.0,751.65,691.51,179.9,402.55,0.62,201.0,99570.0
20201031:0600,28.76,65.4,768.15,599.77,229.1,419.2,0.83,221.0,99450.0
20201031:0700,29.26,69.85,667.35,546.81,171.65,414.9,1.31,235.0,99380.0
20201031:0800,29.19,69.85,588.35,501.82,162.0,421.9,1.24,227.0,99300.0
20201031:0900,28.99,69.85,489.1,446.74,162.15,425.75,0.97,257.0,99210.0
20201031:1000,28.69,69.85,297.05,362.1,93.8,414.15,0.69,256.0,99160.0
20201031:1100,28.07,74.4,137.7,240.85,53.5,412.6,0.83,229.0,99170.0
20201031:1200,27.17,79.35,9.4,28.34,6.25,401.4,0.83,203.0,99240.0
20201031:1300,26.45,84.55,0.0,-0.0,0.0,407.55,0.69,184.0,99340.0
20201031:1400,26.09,81.85,0.0,-0.0,0.0,409.9,0.21,159.0,99440.0
20201031:1500,25.59,84.5,0.0,-0.0,0.0,410.65,0.14,232.0,99540.0
20201031:1600,23.05,98.22,0.0,-0.0,0.0,406.29,0.75,217.0,99570.0
20201031:1700,23.35,96.43,0.0,-0.0,0.0,406.28,0.77,114.0,99590.0
20201031:1800,23.66,94.64,0.0,-0.0,0.0,406.26,0.78,50.0,99570.0
20201031:1900,23.96,92.85,0.0,-0.0,0.0,406.25,0.8,99.0,99560.0
20201031:2000,24.26,91.06,0.0,-0.0,0.0,406.24,0.81,98.0,99500.0
20201031:2100,24.57,89.27,0.0,-0.0,0.0,406.23,0.83,88.0,99430.0
20201031:2200,24.87,87.48,0.0,-0.0,0.0,406.22,0.84,77.0,99420.0
20201031:2300,25.17,85.69,0.0,-0.0,0.0,406.21,0.85,100.0,99430.0
20201101:0000,25.48,83.91,0.0,-0.0,0.0,406.19,0.87,113.0,99460.0
20201101:0100,25.78,82.12,42.65,0.0,42.65,406.18,0.88,108.0,99500.0
20201101:0200,26.08,80.33,277.55,618.59,96.25,406.17,0.9,104.0,99580.0
20201101:0300,26.39,78.54,457.35,631.01,134.1,406.16,0.91,124.0,99650.0
20201101:0400,26.69,76.75,671.65,744.06,155.6,406.15,0.93,156.0,99650.0
20201101:0500,27.0,74.96,727.7,657.59,185.45,406.14,0.94,192.0,99620.0
20201101:0600,27.3,73.17,756.0,606.28,212.5,406.12,0.96,219.0,99510.0
20201101:0700,27.6,71.38,748.2,598.41,207.1,406.11,0.97,238.0,99470.0
20201101:0800,29.56,65.4,531.55,443.71,155.55,424.8,1.31,236.0,99330.0
20201101:0900,28.81,65.4,479.25,474.42,133.0,424.8,1.03,250.0,99320.0
20201101:1000,28.5,69.75,250.95,239.03,117.2,420.35,0.9,250.0,99250.0
20201101:1100,27.68,74.4,122.95,168.75,64.2,424.8,0.9,213.0,99270.0
20201101:1200,26.71,79.3,6.9,14.09,5.35,416.3,0.62,199.0,99320.0
20201101:1300,26.26,84.55,0.0,-0.0,0.0,420.15,0.55,155.0,99400.0
20201101:1400,25.83,87.3,0.0,-0.0,0.0,426.55,0.34,106.0,99470.0
20201101:1500,25.71,84.5,0.0,-0.0,0.0,423.85,0.34,57.0,99560.0
20201101:1600,25.37,87.3,0.0,-0.0,0.0,418.4,0.69,5.0,99630.0
20201101:1700,24.77,90.15,0.0,-0.0,0.0,418.0,0.76,360.0,99680.0
20201101:1800,24.38,93.1,0.0,-0.0,0.0,415.9,0.55,21.0,99650.0
20201101:1900,25.09,87.3,0.0,-0.0,0.0,422.65,0.41,101.0,99650.0
20201101:2000,24.33,93.1,0.0,-0.0,0.0,418.0,0.69,121.0,99570.0
20201101:2100,24.22,90.1,0.0,-0.0,0.0,418.8,0.97,124.0,99540.0
20201101:2200,23.81,90.1,0.0,-0.0,0.0,419.75,0.83,117.0,99490.0
20201101:2300,23.62,90.1,0.0,-0.0,0.0,419.95,0.83,97.0,99490.0
20201102:0000,23.44,90.05,0.0,-0.0,0.0,416.1,1.03,88.0,99500.0
20201102:0100,23.3,90.05,41.3,0.0,41.3,407.7,1.1,64.0,99560.0
20201102:0200,23.73,93.1,262.3,576.37,94.25,403.7,0.62,36.0,99630.0
20201102:0300,25.09,87.3,474.75,660.41,137.65,411.65,0.41,12.0,99690.0
20201102:0400,26.63,76.7,685.45,788.52,140.2,406.6,0.28,327.0,99720.0
20201102:0500,28.19,69.75,754.8,717.63,164.65,412.4,0.48,261.0,99720.0
20201102:0600,29.21,69.85,675.95,558.13,176.9,417.85,1.03,230.0,99620.0
20201102:0700,29.12,69.85,495.5,383.67,149.45,426.75,0.97,251.0,99550.0
20201102:0800,28.52,72.1,588.7,471.53,190.15,425.2,0.55,278.0,99430.0
20201102:0900,28.92,69.85,449.0,407.91,152.1,423.45,0.14,229.0,99360.0
20201102:1000,28.95,69.85,257.25,298.47,90.75,421.1,0.48,225.0,99290.0
20201102:1100,27.8,76.85,82.25,83.48,53.3,423.65,0.34,225.0,99340.0
20201102:1200,26.99,84.6,6.7,14.22,5.15,425.95,0.34,275.0,99400.0
20201102:1300,26.12,84.55,0.0,-0.0,0.0,423.85,0.62,302.0,99480.0
20201102:1400,25.94,84.5,0.0,-0.0,0.0,417.65,0.0,243.0,99580.0
20201102:1500,25.61,87.3,0.0,-0.0,0.0,419.95,0.76,32.0,99650.0
20201102:1600,25.14,90.2,0.0,-0.0,0.0,414.75,0.69,46.0,99690.0
20201102:1700,24.78,93.15,0.0,-0.0,0.0,411.85,0.62,46.0,99690.0
20201102:1800,24.63,93.15,0.0,-0.0,0.0,417.65,0.69,55.0,99650.0
20201102:1900,25.84,87.3,0.0,-0.0,0.0,411.25,0.07,90.0,99610.0
20201102:2000,25.71,87.3,0.0,-0.0,0.0,413.55,0.28,148.0,99550.0
20201102:2100,24.92,93.15,0.0,-0.0,0.0,426.55,0.62,144.0,99500.0
20201102:2200,24.13,93.1,0.0,-0.0,0.0,411.25,0.76,122.0,99470.0
20201102:2300,23.85,96.2,0.0,-0.0,0.0,415.7,1.03,104.0,99480.0
20201103:0000,23.52,96.2,0.0,-0.0,0.0,415.1,0.97,96.0,99480.0
20201103:0100,23.27,96.2,42.6,0.0,42.6,406.15,0.83,73.0,99520.0
20201103:0200,24.35,93.1,296.45,696.03,94.6,409.3,0.41,18.0,99590.0
20201103:0300,25.8,84.5,504.95,730.37,133.5,400.4,0.48,10.0,99650.0
20201103:0400,27.58,79.35,647.55,701.49,163.95,409.5,0.14,55.0,99690.0
20201103:0500,28.85,72.15,793.2,788.86,146.25,417.05,0.28,203.0,99660.0
20201103:0600,29.82,69.95,684.1,540.35,202.2,418.6,0.9,225.0,99590.0
20201103:0700,28.51,74.5,424.0,262.21,188.1,425.0,0.83,301.0,99510.0
20201103:0800,27.77,76.85,475.0,328.26,198.25,437.0,0.55,335.0,99430.0
20201103:0900,28.34,74.5,306.5,181.15,175.0,425.95,0.83,31.0,99360.0
20201103:1000,27.01,81.9,159.9,57.98,127.65,424.4,0.55,98.0,99300.0
20201103:1100,26.74,87.4,58.45,6.8,56.1,418.4,0.69,99.0,99350.0
20201103:1200,26.35,90.25,6.0,3.24,5.65,419.55,0.48,109.0,99350.0
20201103:1300,26.16,90.25,0.0,-0.0,0.0,424.2,0.48,139.0,99430.0
20201103:1400,25.77,87.3,0.0,-0.0,0.0,415.3,0.97,163.0,99550.0
20201103:1500,25.41,90.2,0.0,-0.0,0.0,418.0,1.03,145.0,99630.0
20201103:1600,25.08,90.2,0.0,-0.0,0.0,418.6,1.03,149.0,99670.0
20201103:1700,24.64,93.15,0.0,-0.0,0.0,414.55,0.83,175.0,99670.0
20201103:1800,23.96,99.4,0.0,-0.0,0.0,413.2,0.62,185.0,99650.0
20201103:1900,23.78,96.2,0.0,-0.0,0.0,421.3,1.38,94.0,99620.0
20201103:2000,23.56,96.2,0.0,-0.0,0.0,418.0,1.24,69.0,99560.0
20201103:2100,23.26,99.4,0.0,-0.0,0.0,415.7,1.17,69.0,99480.0
20201103:2200,23.01,99.4,0.0,-0.0,0.0,406.2,1.24,69.0,99430.0
20201103:2300,22.88,99.4,0.0,-0.0,0.0,411.05,1.17,62.0,99420.0
20201104:0000,23.13,93.05,0.0,-0.0,0.0,413.95,1.24,83.0,99480.0
20201104:0100,22.48,100.0,50.6,0.0,50.6,406.15,1.38,84.0,99540.0
20201104:0200,23.44,99.4,261.45,535.21,107.1,402.15,0.55,80.0,99630.0
20201104:0300,25.27,93.15,409.95,539.6,136.55,402.9,0.14,189.0,99690.0
20201104:0400,26.46,84.55,604.95,658.41,152.45,410.3,0.76,248.0,99740.0
20201104:0500,27.2,76.8,664.85,535.32,227.05,412.0,0.76,242.0,99700.0
20201104:0600,28.22,72.1,815.05,696.85,195.2,419.0,0.97,245.0,99590.0
20201104:0700,29.3,72.15,577.25,354.53,259.1,422.45,0.9,282.0,99470.0
20201104:0800,29.04,72.15,406.35,182.18,253.15,430.6,1.03,283.0,99330.0
20201104:0900,28.44,74.5,305.25,98.2,234.15,427.1,0.41,214.0,99270.0
20201104:1000,28.11,74.5,153.0,42.55,129.4,434.3,0.34,124.0,99260.0
20201104:1100,26.1,90.25,50.55,8.28,47.7,432.55,0.07,41.0,99250.0
20201104:1200,25.38,93.15,5.0,1.4,4.85,435.65,0.41,337.0,99320.0
20201104:1300,25.39,90.2,0.0,-0.0,0.0,422.45,0.55,63.0,99400.0
20201104:1400,24.94,93.15,0.0,-0.0,0.0,418.4,0.41,37.0,99450.0
